section_type,headline,subtitle,url,author,publication_date
container-1 | technology,Trump extends deadline for TikTok sale to non-Chinese buyer to avoid ban,"Deadline set by US president was supposed to be Saturday, with Trump now considering decreasing tariffs to get deal",https://www.theguardian.com/us-news/2025/apr/04/tik-tok-ban-trump-extension,Dara Kerr,Not available
container-1 | technology,Meta and Pinterest believed to have donated to Molly Russell charity,"Anonymous donations made to Molly Rose Foundation, set up after Molly Russell, 14, took her own life after viewing harmful material on social media",https://www.theguardian.com/technology/2025/apr/05/meta-and-pinterest-donated-to-uk-internet-safety-charity-say-reports,Aneesa Ahmed,Not available
container-1 | technology,‘I didn’t start out wanting to see kids’: are porn algorithms feeding a generation of paedophiles – or creating one?,"More than 850 men a month are arrested for online child abuse offences in England and Wales. They come from every walk of life: teachers, police officers, doctors, TV presenters. And the numbers are rising every year. How did this happen?",https://www.theguardian.com/society/2025/apr/05/i-didnt-start-out-wanting-to-see-kids-are-porn-algorithms-feeding-a-generation-of-paedophiles-or-creating-one,Harriet Grant,Not available
container-1 | technology,Australia’s social media ban is attracting global praise – but we’re no closer to knowing how it would work,A trial is under way but the government faces many hurdles – including whether Trump-emboldened tech companies will comply,https://www.theguardian.com/technology/2025/apr/05/australia-social-media-ban-trial-global-response-implementation,Josh Taylor,2025-04-05T11:30:21.000Z
container-1 | technology,……comments,A trial is under way but the government faces many hurdles – including whether Trump-emboldened tech companies will comply,https://www.theguardian.com/technology/2025/apr/05/australia-social-media-ban-trial-global-response-implementation#comments,Josh Taylor,2025-04-05T11:30:21.000Z
container-1 | technology,US authors’ copyright lawsuits against OpenAI and Microsoft combined in New York with newspaper actions,California cases over AI trainers’ use of work by writers including Ta-Nehisi Coates and Michael Chabon transferred to consolidate with New York suits from John Grisham and Jonathan Franzen and more,https://www.theguardian.com/books/2025/apr/04/us-authors-copyright-lawsuits-against-openai-and-microsoft-combined-in-new-york-with-newspaper-actions,Ella Creamer,Not available
container-1 | technology,"Blanket ban on teen smartphone use ‘potentially detrimental’, says academic",Dr Amy Orben says there are no ‘one-size-fits-all answers’ given importance of access to online information,https://www.theguardian.com/technology/2025/apr/03/blanket-ban-on-teen-smartphone-use-potentially-detrimental-says-academic,Jessica Elgot,Not available
container-1 | technology,All stories,"Latest news, sport, business, comment, analysis and reviews from the Guardian, the world&#x27;s leading liberal voice",https://www.theguardian.com/technology/all,,2025-04-05T15:00:24.000Z
container-2 | spotlight,Clickbait titles and cliffhangers: the mini TV serials capturing phone audiences,"‘Vertical dramas’ consisting of minute-long episodes are booming, with market predicted to be worth $14bn by 2027",https://www.theguardian.com/tv-and-radio/2025/apr/04/tv-serials-vertical-drama-phones-grip-viewers,Nadia Khomami,Not available
container-2 | spotlight,"The best walking pads and under-desk treadmills, tried and tested to turn your workday into a workout","Sedentary lifestyles are bad for us, but which under-desk treadmills and walking pads are worth the cost? Our expert stepped up to find out",https://www.theguardian.com/thefilter/2025/apr/03/best-walking-pads-under-desk-treadmills-uk,Leon Poultney,Not available
container-2 | spotlight,How to use AI to get a job interview and nail it – along with the salary you deserve,"Supercharge your search and beat the screening, sharpen your speaking skills and boost your negotiating position",https://www.theguardian.com/money/2025/apr/01/how-to-use-ai-job-interview-salary-research-employer,Harriet Meyer,Not available
container-2 | spotlight,"‘Sim farms’, high heels, zombie knives: what scammers buy with the money they steal",A haul of items seized by police reveals the scale and threat of payment fraud – a crime that can have significant emotional impact on victims,https://www.theguardian.com/money/2025/mar/31/changing-threat-police-hunting-hi-tech-scammers-uk-billions,Shane Hickey,Not available
container-3 | smartphone-reviews,Funky mid-ranger with real zoom camera,"Transparent back, flashing LEDs, novel design, long battery life and huge triple camera help this Android stand out",https://www.theguardian.com/technology/2025/mar/17/nothing-phone-3a-pro-review-real-zoom-camera-battery-life-android,Samuel Gibbs,Not available
container-3 | smartphone-reviews,Nothing Phone 2 reviewNovel mobile is more than just flashing lights,"Cool design, competitive price, solid performance and battery life, let down by short support life",https://www.theguardian.com/technology/2023/jul/14/nothing-phone-2-review-novel-mobile-is-more-than-just-flashing-lights,Samuel Gibbs,Not available
container-3 | smartphone-reviews,Apple’s cheapest new phone,"Stripped back iPhone offers latest chips, AI and longer battery life, but with only a single camera on the back",https://www.theguardian.com/technology/2025/mar/11/iphone-16e-review-apple-cheapest-new-phone,Samuel Gibbs,Not available
container-3 | smartphone-reviews,iPhone 16 Plus reviewApple’s battery beast,"Enlarged iPhone gains two new buttons, faster chip and better camera, while lasting a long time on a charge",https://www.theguardian.com/technology/2024/oct/22/iphone-16-plus-review-apple-battery-beast,Samuel Gibbs,2025-03-19T18:28:52.000Z
container-3 | smartphone-reviews,iPhone 16 reviewMore buttons and speed for Apple’s standard phone,Smallest and cheapest new model plays catchup to Pro iPhones with strong battery life but familiar design,https://www.theguardian.com/technology/2024/oct/17/iphone-16-review-more-buttons-speed-apple-standard-phone-battery-life,Samuel Gibbs,Not available
container-3 | smartphone-reviews,The smallest top-tier Android left,"Compact phone has flagship chip and buckets of AI, but hasn’t changed much from predecessors",https://www.theguardian.com/technology/2025/feb/21/samsung-galaxy-s25-review-smallest-top-tier-android-ai,Samuel Gibbs,Not available
container-3 | smartphone-reviews,Samsung Galaxy S25 Ultra reviewStill the superphone to beat,"Huge glass and metal slab packs super-fast chip, long battery life and unrivalled camera zoom, but its AI features are overhyped",https://www.theguardian.com/technology/2025/feb/17/samsung-galaxy-s25-ultra-review-still-the-superphone-to-beat,Samuel Gibbs,Not available
container-3 | smartphone-reviews,"Samsung Galaxy Z Flip 6 reviewFaster, longer-lasting flip phone","Sixth-generation folder adds bigger battery, better camera, brighter screen and more fancy AI features",https://www.theguardian.com/technology/article/2024/jul/23/samsung-galaxy-z-flip-6-review-faster-longer-lasting-phone-battery-camera-screen-ai,Samuel Gibbs,Not available
container-3 | smartphone-reviews,The rapid Android with a gorgeous fabric back,"New smartphone has 2025’s fastest Qualcomm chip, two-day battery life, great camera and standout design",https://www.theguardian.com/technology/2025/feb/05/oneplus-13-review-android-fabric-back-battery-life-camera,Samuel Gibbs,Not available
container-3 | smartphone-reviews,OnePlus Open reviewPhone-like folding tablet,"New folder is thinner, lighter and cheaper, with almost invisible crease, challenging Samsung and Google",https://www.theguardian.com/technology/2023/dec/14/oneplus-open-review-the-most-phone-like-folding-tablet-yet,Samuel Gibbs,Not available
container-4 | gadget-reviews,Amazon’s new e-reader gets colour screen upgrade,"With launch problems fixed, first colour Kindle improves reading experience – but it is pricey and too small for comics",https://www.theguardian.com/technology/2025/mar/19/kindle-colorsoft-review-amazon-e-reader-colour-screen-upgrade,Samuel Gibbs,Not available
container-4 | gadget-reviews,Apple’s best workout buds are back with a bang,"Better fit, great sound, noise cancelling, longer battery life and heart rate sensors upgrade just about everything",https://www.theguardian.com/technology/2025/feb/12/beats-powerbeats-pro-2-review-apple-best-workout-earbuds-headphones,Samuel Gibbs,Not available
container-4 | gadget-reviews,Beats Solo Buds reviewApple’s budget earbuds rock,"Cut-price Bluetooth Beats are small, comfortable and last a long time, with great Android and iPhone support",https://www.theguardian.com/technology/article/2024/jun/19/beats-solo-buds-review-apple-budget-earbuds,Samuel Gibbs,Not available
container-4 | gadget-reviews,Beats Solo 4 reviewApple headphones get Android-loving upgrade,"Solid sound, 50 hours of battery life, spatial audio and cross-platform features elevate fourth-gen Beats",https://www.theguardian.com/technology/article/2024/jun/11/beats-solo-4-review-apple-headphones-get-android-loving-upgrade,Samuel Gibbs,Not available
container-4 | gadget-reviews,Best smart ring gets comfort and battery upgrade,"Sleek, celeb-favoured gadget tracks sleep, activity and heart health without a smartwatch, but comes at high cost",https://www.theguardian.com/technology/2024/oct/15/oura-ring-4-review-best-smart-ring-battery-upgrade,Samuel Gibbs,Not available
container-4 | gadget-reviews,"Thinner, lighter and basically the same","Tenth generation Apple smartwatch gets a bigger screen and body overhaul, but blink and you might miss it",https://www.theguardian.com/technology/2024/nov/21/apple-watch-series-10-review-thinner-lighter-and-basically-the-same,Samuel Gibbs,Not available
container-7 | most-viewed-in-technology,Meta and Pinterest believed to have donated to Molly Russell charity,"Anonymous donations made to Molly Rose Foundation, set up after Molly Russell, 14, took her own life after viewing harmful material on social media",https://www.theguardian.com/technology/2025/apr/05/meta-and-pinterest-donated-to-uk-internet-safety-charity-say-reports,Aneesa Ahmed,Not available
container-7 | most-viewed-in-technology,Meta faces £1.8bn lawsuit over claims it inflamed violence in Ethiopia,Son of murdered academic calls on Facebook owner to ‘radically change how it moderates dangerous content’,https://www.theguardian.com/technology/2025/apr/03/meta-faces-18bn-lawsuit-over-claims-it-inflamed-violence-in-ethiopia,Dan Milmo,2024-01-31T12:25:46.000Z
container-7 | most-viewed-in-technology,How to protect your phone and data privacy at the US border,"With reports of people being turned away at airports over messages found on devices, here’s what to do to minimize risks",https://www.theguardian.com/technology/2025/mar/26/phone-search-privacy-us-border-immigration,Johana Bhuiyan,Not available
container-7 | most-viewed-in-technology,"Inside the violent, misogynistic world of TikTok’s new star, Andrew Tate",Observer investigation reveals how the ex-kickboxer and Big Brother contestant from Luton has gone from obscurity to global internet fame in months,https://www.theguardian.com/technology/2022/aug/06/andrew-tate-violent-misogynistic-world-of-tiktok-new-star,Shanti Das,2025-03-29T10:45:46.000Z
container-7 | most-viewed-in-technology,TikTok ban deadline looms in US amid last-minute takeover bids,Deadline for company to divest from Chinese ownership nears as Trump mulls over potential bids from US firms,https://www.theguardian.com/technology/2025/apr/04/tiktok-ban-deadline-trump-proposals,Dara Kerr,Not available
container-7 | most-viewed-in-technology,Donkey Kong champion wins defamation case against Australian YouTuber Karl Jobst,"Queenslander ordered to pay $350,000 plus interest and costs as judge finds his video about American gamer Billy Mitchell was ‘recklessly’ based on false claim",https://www.theguardian.com/technology/2025/apr/01/donkey-kong-champion-billy-mitchell-wins-defamation-case-australia-youtuber-karl-jobst-ntwnfb,Josh Taylor,Not available
container-7 | most-viewed-in-technology,Swallowing the Red Pill: a journey to the heart of modern misogyny,The online community hosted on Reddit lets men complain about women but its users need to know that desire is a mess – and that everyone suffers from it,https://www.theguardian.com/technology/2016/apr/14/the-red-pill-reddit-modern-misogyny-manosphere-men,Stephen Marche,2025-02-14T12:24:17.000Z
container-7 | most-viewed-in-technology,"‘All people could do was hope the nerds would fix it’: the global panic over the millennium bug, 25 years on","Planes were going to drop out of the sky, nuclear reactors would explode. But then … nothing. What really happened with Y2K? People still disagree …",https://www.theguardian.com/technology/2024/dec/28/all-people-could-do-was-hope-the-nerds-would-fix-it-the-global-panic-over-the-millennium-bug-25-years-on,Tom Faber,Not available
container-7 | most-viewed-in-technology,Italian police increase security at Tesla dealerships after 17 cars destroyed in Rome fire,State police anti-terrorism unit investigating whether blaze in Torre Angela was started by anarchists,https://www.theguardian.com/technology/2025/apr/02/italian-police-increase-security-at-tesla-dealerships-after-17-cars-destroyed-in-rome-fire,Angela Giuffrida,2025-03-24T14:36:12.000Z
container-7 | most-viewed-in-technology,"Blanket ban on teen smartphone use ‘potentially detrimental’, says academic",Dr Amy Orben says there are no ‘one-size-fits-all answers’ given importance of access to online information,https://www.theguardian.com/technology/2025/apr/03/blanket-ban-on-teen-smartphone-use-potentially-detrimental-says-academic,Jessica Elgot,Not available
